condition,accuracy,macro_f1,balanced_accuracy
1,0.52,0.4764201273319431,0.5199999999999999
2,0.4025,0.3491043520586603,0.4025
3,0.3283208020050125,0.2728799536704584,0.3275
4,0.2625,0.19718456744868035,0.2625
5,0.4475,0.4018410534565381,0.44749999999999995
6,0.405,0.3602589352367953,0.40499999999999997
7,0.44,0.42135639230727395,0.44000000000000006
8,0.5,0.43622438445948075,0.4999999999999999
9,0.425,0.390902438766859,0.425
10,0.39,0.3473689679852877,0.39
