condition,accuracy,macro_f1,balanced_accuracy
1,0.3,0.226268785300199,0.3
2,0.265,0.1888486156819818,0.265
3,0.3433583959899749,0.24632497834162956,0.34249999999999997
4,0.2375,0.1533885389148547,0.2375
5,0.32,0.222032213053379,0.32
6,0.2875,0.2315370801403856,0.2875
7,0.3425,0.28483915161036155,0.34249999999999997
8,0.255,0.18529149430275837,0.255
9,0.2675,0.18615589669958163,0.26749999999999996
10,0.295,0.22551418034423176,0.295
